smiles,value,units,type,relation,chembl_id,assay_id,organism,source
Cc1c(N2CCSCC2)c(N)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,1.42,ug.mL-1,IC50,=,CHEMBL48072,CHEMBL678823,Escherichia coli,ChEMBL
Cc1c(N2CCc3ccccc3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,3.14,ug.mL-1,IC50,=,CHEMBL141308,CHEMBL678823,Escherichia coli,ChEMBL
O=C([O-])C1=CS[C@@H]2/C(=C\c3cnc4n3CCOC4)C(=O)N12.[Na+],0.4,nM,IC50,=,CHEMBL263746,CHEMBL876650,Escherichia coli,ChEMBL
Cc1c(N2CCOCC2)c(N)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,5.64,ug.mL-1,IC50,=,CHEMBL45586,CHEMBL678823,Escherichia coli,ChEMBL
Cc1c(N2CCC(C)CC2)c(N)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,5.86,ug.mL-1,IC50,=,CHEMBL125318,CHEMBL678823,Escherichia coli,ChEMBL
O=C([O-])C1=CS[C@@H]2/C(=C\c3cnc4n3CCNC4)C(=O)N12.[Na+],5.0,nM,IC50,=,CHEMBL331090,CHEMBL876650,Escherichia coli,ChEMBL
O=C([O-])C1=CS[C@@H]2/C(=C\c3cc4n(n3)CCC4)C(=O)N12.[Na+],1.0,nM,IC50,=,CHEMBL124416,CHEMBL876650,Escherichia coli,ChEMBL
Cc1c(N2CCc3ccccc3C2)c(N)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,3.58,ug.mL-1,IC50,=,CHEMBL124970,CHEMBL678823,Escherichia coli,ChEMBL
Cc1c(N2C[C@@H](C)O[C@@H](C)C2)c(N)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,50.0,ug.mL-1,IC50,>,CHEMBL141053,CHEMBL678823,Escherichia coli,ChEMBL
Cc1c(N2CCCCC2)c(N)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,3.22,ug.mL-1,IC50,=,CHEMBL344447,CHEMBL678823,Escherichia coli,ChEMBL
Cc1c(N2CCN(C)CC2)c(N)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,3.78,ug.mL-1,IC50,=,CHEMBL416273,CHEMBL678823,Escherichia coli,ChEMBL
O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,0.68,ug.mL-1,IC50,=,CHEMBL8,CHEMBL678823,Escherichia coli,ChEMBL
C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,100.0,nM,IC50,=,CHEMBL404,CHEMBL876650,Escherichia coli,ChEMBL
Cc1c(N2CCC(O)CC2)c(N)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,5.74,ug.mL-1,IC50,=,CHEMBL45892,CHEMBL678823,Escherichia coli,ChEMBL
O=C([O-])C1=CS[C@@H]2/C(=C\c3cn4c5c(sc4n3)CCC5)C(=O)N12.[Na+],1.0,nM,IC50,=,CHEMBL122450,CHEMBL876650,Escherichia coli,ChEMBL
CC(=O)Nc1c(F)c(N2CCNCC2)c(F)c2c1c(=O)c(C(=O)O)cn2C1CC1,100.0,ug.mL-1,IC50,>,CHEMBL422131,CHEMBL686626,Escherichia coli,ChEMBL
CC(=O)O.CN(C(=O)C[C@@H](N)CCCCN)C1CN=C(Nc2nc3ccccc3[nH]2)NC1=O,1000.0,nM,IC50,=,CHEMBL440141,CHEMBL678821,Escherichia coli,ChEMBL
CCNCC1CCN(c2c(F)c(NC(C)=O)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C1,100.0,ug.mL-1,IC50,>,CHEMBL356984,CHEMBL686626,Escherichia coli,ChEMBL
Nc1c(F)c(N2CCNCC2)c(F)c2c1c(=O)c(C(=O)O)cn2C1CC1,2.8,ug.mL-1,IC50,=,CHEMBL274469,CHEMBL686626,Escherichia coli,ChEMBL
Br.Cc1csc(NC2=NCC(N(C)C(=O)C[C@@H](N)CCCCN)C(=O)N2)n1,1000.0,nM,IC50,=,CHEMBL543371,CHEMBL678821,Escherichia coli,ChEMBL
CC(=O)O.CN(C(=O)C[C@@H](N)CCCCN)C1CN=C(Nc2cccnc2)NC1=O,64000.0,nM,IC50,>,CHEMBL89278,CHEMBL678821,Escherichia coli,ChEMBL
Br.CN(C(=O)C[C@@H](N)CCCN=C(N)N)C1CN=C(Nc2ncccn2)NC1=O,50.0,nM,IC50,<,CHEMBL541310,CHEMBL678821,Escherichia coli,ChEMBL
CCNCC1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C1,1.4,ug.mL-1,IC50,=,CHEMBL6210,CHEMBL686626,Escherichia coli,ChEMBL
CC(=O)O.CN(C(=O)C[C@@H](N)CCCCN)C1CN=C(Nc2ccccn2)NC1=O,100.0,nM,IC50,=,CHEMBL88685,CHEMBL678821,Escherichia coli,ChEMBL
O=C(O)c1cn(C2CC2)c2c(F)c(N3CCNCC3)c(F)cc2c1=O,2.8,ug.mL-1,IC50,=,CHEMBL15549,CHEMBL686626,Escherichia coli,ChEMBL
Cc1cc(O)c(O)c2oc(=O)c3ccc(F)cc3c12,500.0,ug.mL-1,IC50,>,CHEMBL6336,CHEMBL658170,Escherichia coli,ChEMBL
O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,5.3,ug.mL-1,IC50,=,CHEMBL8,CHEMBL686626,Escherichia coli,ChEMBL
O=c1oc2ccccc2c2cc(O)c(O)cc12,500.0,ug.mL-1,IC50,>,CHEMBL6365,CHEMBL658170,Escherichia coli,ChEMBL
O=c1oc2c(F)c(F)ccc2c2cc(O)c(O)cc12,40.0,ug.mL-1,IC50,=,CHEMBL268770,CHEMBL658170,Escherichia coli,ChEMBL
CN(C(=O)C[C@@H](N)c1cc(CN)on1)C1CN=C(NC(N)=O)NC1=O.Cl.Cl,64000.0,nM,IC50,>,CHEMBL3216187,CHEMBL678821,Escherichia coli,ChEMBL
CCNCC1CCN(c2c(F)c(NC)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C1,13.8,ug.mL-1,IC50,=,CHEMBL359193,CHEMBL686626,Escherichia coli,ChEMBL
Br.CN(C(=O)C[C@@H](N)CCCCN)C1CN=C(Nc2cnccn2)NC1=O,100.0,nM,IC50,<,CHEMBL542423,CHEMBL678821,Escherichia coli,ChEMBL
