smiles,label,cid,aid,organism,source
CCN1C=C(C(=O)C2=CN=C(N=C21)N3CCN(CC3)C(=O)NC4=CC=CC=C4)C(=O)O,1,660512,623937,Escherichia coli,PubChem
C1CCC2=C(C1)C(=C(S2)NC(=O)C3=CC=CC=C3C(=O)O)C#N,1,744839,623937,Escherichia coli,PubChem
C1=CN=C(N=C1)NC(=O)C2=CC=C(O2)[N+](=O)[O-],1,771978,623937,Escherichia coli,PubChem
C1CCC2=C(C1)C(=C(S2)NC(=O)C3=CC(=CC=C3)F)C#N,1,773641,623937,Escherichia coli,PubChem
CCN1C=C(C(=O)C2=CN=C(N=C21)N3CCN(CC3)C(=S)NC4=CC=CC=C4C(F)(F)F)C(=O)O,1,1045135,623937,Escherichia coli,PubChem
CCN1C=C(C(=O)C2=CN=C(N=C21)N3CCN(CC3)C(=S)NC4=CC=CC=C4Cl)C(=O)O,1,1046489,623937,Escherichia coli,PubChem
CCN1C=C(C(=O)C2=CN=C(N=C21)N3CCN(CC3)C(=S)NC4=CC=C(C=C4)F)C(=O)O,1,1387411,623937,Escherichia coli,PubChem
CCN1C=C(C(=O)C2=CN=C(N=C21)N3CCN(CC3)C(=S)NC4=CC5=C(C=C4)OCCO5)C(=O)O,1,1627642,623937,Escherichia coli,PubChem
CCN1C=C(C(=O)C2=CN=C(N=C21)N3CCN(CC3)C(=S)NC4=CC=CC=C4)C(=O)O,1,1955100,623937,Escherichia coli,PubChem
CCN1C=C(C(=O)C2=CN=C(N=C21)N3CCN(CC3)C(=S)NC(=O)C4=CC=CC(=C4)C)C(=O)O,1,2042794,623937,Escherichia coli,PubChem
C1CC2=C(C1)SC(=C2C#N)NC(=O)C3=CC=C(O3)[N+](=O)[O-],1,2295461,623937,Escherichia coli,PubChem
CCN1C=C(C(=O)C2=CN=C(N=C21)N3CCN(CC3)C(=S)NC4CC5CCC4C5)C(=O)O,1,2957989,623937,Escherichia coli,PubChem
C1=CC=C(C(=C1)C(=O)NC2=CC(=CC=C2)NC(=O)C3=CC=C(O3)[N+](=O)[O-])Cl,1,3577588,623937,Escherichia coli,PubChem
CC1=CC2=C(C=C1)N=C(N2)/C(=C\C3=CC=C(O3)[N+](=O)[O-])/C#N,1,5341736,623937,Escherichia coli,PubChem
C1CCC2=C(C1)C(=C(S2)NC(=O)C3=CC=C(O3)[N+](=O)[O-])N,1,53234182,623937,Escherichia coli,PubChem
CC1CCC2=C(C1)SC(=C2N)NC(=O)C3=CC=C(O3)[N+](=O)[O-],1,53234183,623937,Escherichia coli,PubChem
CCN1C=C(C(=O)C2=CN=C(N=C21)N3CCNCC3)C(=O)O,0,4831,623937,Escherichia coli,PubChem
CC1(CC2=C(CO1)SC(=C2C#N)NC(=O)C3=CC=CO3)C,0,651143,623937,Escherichia coli,PubChem
CC1=C(SC(=C1C#N)NC(=O)C2=CC=C(O2)Br)C,0,673474,623937,Escherichia coli,PubChem
C1=CC(=CN=C1)CNC(=O)C2=CC=C(O2)[N+](=O)[O-],0,693996,623937,Escherichia coli,PubChem
C1CCC2=C(C1)C(=C(S2)NC(=O)C3=NC=CN=C3)C#N,0,697851,623937,Escherichia coli,PubChem
C1COCCN1C2=CC=C(C=C2)NC(=O)C3=CC=C(O3)[N+](=O)[O-],0,774021,623937,Escherichia coli,PubChem
C1CC2=C(C1)SC(=C2C#N)NC(=O)C3=CC=CC=C3,0,792994,623937,Escherichia coli,PubChem
C1CC2=C(C1)SC(=C2C#N)NC(=O)C3=CC=CO3,0,793579,623937,Escherichia coli,PubChem
C1CCC2=C(C1)C(=C(S2)NC(=O)C3=CC=C(O3)[N+](=O)[O-])C#N,0,801189,623937,Escherichia coli,PubChem
CC1=C(N=CC=C1)NC(=O)C2=CC=C(O2)[N+](=O)[O-],0,845583,623937,Escherichia coli,PubChem
