smiles,label,n_measurements,frac_active,sources
BrC(=C\c1ccccc1)/C=N/N1CCN(c2ccccn2)CC1,0,1,0.0,PubChem
BrCC(Br)C1CCC(Br)C(Br)C1,0,1,0.0,PubChem
BrCCCCCCCCCCOCc1c(-c2ccccc2)nc2sc3ccccc3n12,0,1,0.0,ChEMBL
BrCCCOCc1c(-c2ccccc2)nc2sc3ccccc3n12,1,1,1.0,ChEMBL
BrCCOc1ccc2ccccc2c1,0,1,0.0,ChEMBL
BrCCc1ccccc1,0,1,0.0,PubChem
Brc1c(-c2ccc(-c3[nH]c4cc(C5=NCCN5)ccc4c3Br)cc2)[nH]c2cc(C3=NCCN3)ccc12,1,2,1.0,ChEMBL
Brc1c(-c2ccccc2)nc2sc(Cc3noc4ccccc34)nn12,1,1,1.0,ChEMBL
Brc1c(Br)c(Br)c2[nH]cnc2c1Br,1,1,1.0,PubChem
Brc1c(Br)c(Br)c2n[nH]nc2c1Br,1,1,1.0,PubChem
Brc1cc(-c2nnc(-c3ccccc3)o2)[nH]c1Br,0,1,0.0,ChEMBL
Brc1cc(-c2nnc(-c3ccncc3)o2)[nH]c1Br,0,1,0.0,ChEMBL
Brc1cc(-c2nnc(/C=C/c3ccccc3)o2)[nH]c1Br,0,1,0.0,ChEMBL
Brc1cc(-c2nnc(Sc3ccccc3)o2)[nH]c1Br,0,1,0.0,ChEMBL
Brc1cc2c(cc1C1CC(c3cccs3)=NN1c1nc(-c3ccccc3)cs1)OCO2,0,2,0.0,ChEMBL
Brc1cc2c(cc1C1Nc3ccccc3C3C=CCC31)OCO2,0,1,0.0,PubChem
Brc1cc2c(cc1Cc1cc3c(cc1Br)OCO3)OCO2,0,2,0.0,ChEMBL
Brc1ccc(-c2ccccc2)cc1,0,1,0.0,PubChem
Brc1ccc(-c2cn3nc(Cc4noc5ccccc45)sc3n2)cc1,1,1,1.0,ChEMBL
Brc1ccc(-c2cnc(NC3CCCC3)[nH]2)cc1,1,1,1.0,PubChem
Brc1ccc(-c2cnc(NCCCCCCCCNc3ncc(-c4ccc(Br)cc4)[nH]3)[nH]2)cc1,0,2,0.0,ChEMBL
