smiles,pmic,n_meas
BrCCOc1ccc2ccccc2c1,2.9916465256393883,1
Brc1c(-c2ccc(-c3[nH]c4cc(C5=NCCN5)ccc4c3Br)cc2)[nH]c2cc(C3=NCCN3)ccc12,5.980496829067534,2
Brc1c(-c2ccccc2)nc2sc(Cc3noc4ccccc34)nn12,5.1370205599515115,1
Brc1cc(-c2nnc(-c3cc(Br)c(Br)[nH]3)o2)[nH]c1Br,5.519344109528975,1
Brc1cc(-c2nnc(-c3ccccc3)o2)[nH]c1Br,4.4701351839397985,1
Brc1cc(-c2nnc(-c3ccncc3)o2)[nH]c1Br,4.47129640610904,1
Brc1cc(-c2nnc(/C=C/C3=COc4ccccc4C3)o2)[nH]c1Br,5.157494967444143,1
Brc1cc(-c2nnc(/C=C/c3ccccc3)o2)[nH]c1Br,4.499746450464296,1
Brc1cc(-c2nnc(Sc3ccccc3)o2)[nH]c1Br,4.50632424168699,1
Brc1ccc(-c2cn3nc(Cc4noc5ccccc45)sc3n2)cc1,5.614141814671173,1
Brc1ccc(-c2cnc(-c3ccc4nc(-c5ccc(Oc6ccccc6)cc5)c(Nc5ccccc5)n4c3)[nH]2)cc1,4.690351393340776,1
Brc1ccc(-c2nc3ccc(-c4nc5ccc(Oc6ccccc6)cc5[nH]4)cn3c2Nc2ccccc2)cc1,4.254913059463641,1
Brc1ccc(-c2nc3ccc(-c4ncc(-c5ccc(Oc6ccccc6)cc5)[nH]4)cn3c2Nc2ccccc2)cc1,4.2548837396669725,1
Brc1ccc(-c2nc3sc(Cc4noc5ccccc45)nn3c2Br)cc1,5.389325591817493,1
Brc1ccc(-c2nn(-c3ccccc3)cc2-c2nnc(-c3ccccc3)o2)cc1,3.5394916803748817,1
Brc1ccc(-c2nnc(-c3ccc(-n4cccc4)cc3)o2)cc1,4.961679695193031,1
Brc1ccc(/C=N/Nc2nc(-c3ccccc3)cs2)cc1,4.45729315746104,1
Brc1ccc(C2=NN(c3nc(-c4ccccc4)cs3)C(c3ccco3)C2)cc1,5.158016437240575,1
Brc1ccc(C2=NN(c3nc(-c4ccccc4)cs3)C(c3cccs3)C2)cc1,4.872905527298043,1
Brc1ccc(CNC2CCCCC2NCc2ccc(Br)cc2)cc1,6.257423201830226,1
Brc1ccc(CN[C@H]2CCCC[C@@H]2NCc2ccc(Br)cc2)cc1,7.752273223510319,1
Brc1ccc(COc2ccc3c(c2)CCc2nccn2-3)cc1,4.152575739983025,1
Brc1ccc(NCc2ccc3cc2OCC#C/C=C\C#CCO3)cc1,3.4885815601837002,1
Brc1ccc2[nH]c(-c3cc4ccccc4n4nnnc34)nc2c1,3.5625236336259603,1
