descriptor,attribution
PEOE_VSA14,0.00965428
fr_COO,0.0086151045
EState_VSA2,0.008606757
MinEStateIndex,0.008035347
SlogP_VSA8,0.0074790623
FpDensityMorgan1,0.007008563
VSA_EState3,0.0067862286
NumAromaticHeterocycles,0.006578601
BCUT2D_LOGPHI,0.006357926
VSA_EState9,0.006267256
PEOE_VSA7,0.006191231
fr_Imine,0.0059947353
fr_Ar_NH,0.005926662
SMR_VSA10,0.005578809
NHOHCount,0.0052912375
EState_VSA9,0.0051656296
SMR_VSA1,0.0046797697
BCUT2D_CHGLO,0.0045927507
PEOE_VSA3,0.004276391
EState_VSA4,0.004216632
EState_VSA6,0.0040397523
PEOE_VSA9,0.0039024556
SlogP_VSA6,0.00390056
SlogP_VSA4,0.0037889974
qed,0.0037231934
PEOE_VSA11,0.0037045872
EState_VSA10,0.0035567738
SlogP_VSA5,0.0034607304
fr_NH2,0.0033558921
BCUT2D_MWLOW,0.0033290563
VSA_EState1,0.0031668516
Kappa2,0.003072726
HallKierAlpha,0.0029463503
fr_dihydropyridine,0.0029458725
PEOE_VSA4,0.0028240492
PEOE_VSA8,0.00270445
SMR_VSA7,0.0026839634
VSA_EState2,0.002672815
fr_nitro_arom,0.0026042224
fr_azo,0.002570702
PEOE_VSA10,0.00252532
MolWt,0.002493705
SlogP_VSA10,0.002454888
SlogP_VSA3,0.00234097
EState_VSA7,0.0023246084
VSA_EState6,0.002314278
PEOE_VSA12,0.0022679933
BCUT2D_CHGHI,0.0022645784
NumHeteroatoms,0.00222739
MaxEStateIndex,0.0022197703
EState_VSA3,0.002214185
VSA_EState8,0.002202139
Chi4n,0.0021980414
Chi2n,0.002179342
BCUT2D_MRHI,0.0021793223
EState_VSA5,0.002119389
fr_Ar_N,0.0021176636
SMR_VSA6,0.002072793
BCUT2D_LOGPLOW,0.0020485206
SlogP_VSA1,0.002048123
VSA_EState4,0.0019994718
PEOE_VSA2,0.0019302804
MolLogP,0.0019013598
BertzCT,0.0018736206
fr_piperdine,0.0018508458
SMR_VSA3,0.0018204516
RingCount,0.0018187803
fr_Ar_OH,0.0018152307
FractionCSP3,0.0017598929
PEOE_VSA6,0.0017037254
SMR_VSA9,0.001664772
VSA_EState7,0.0016596579
fr_piperzine,0.0015915158
fr_nitroso,0.0015895102
SMR_VSA4,0.0015645125
EState_VSA8,0.001556237
PEOE_VSA1,0.0014940191
BCUT2D_MWHI,0.0014908147
SMR_VSA5,0.0014146204
fr_hdrzone,0.001326195
fr_tetrazole,0.0013157483
fr_sulfone,0.0012697878
fr_lactone,0.001263353
EState_VSA1,0.0012181628
BalabanJ,0.0011513624
VSA_EState5,0.0011396087
fr_thiophene,0.0010770739
fr_nitro,0.0010581317
fr_hdrzine,0.0009262669
Kappa3,0.0008550026
fr_guanido,0.0008383717
fr_amidine,0.0007477638
fr_alkyl_carbamate,0.0005909052
fr_N_O,0.0005630225
fr_SH,0.0002540378
fr_oxazole,0.0002383647
fr_azide,0.00019677225
fr_benzodiazepine,8.3813255e-05
fr_isothiocyan,3.4515986e-05
Ipc,2.6352784e-05
