descriptor,importance
fr_azo,0.0024248258592116656
fr_COO,0.0007508362011331796
fr_Ar_NH,0.0005286669794221099
VSA_EState9,0.00044616197585896816
fr_SH,0.0004078940325621394
VSA_EState3,0.0003970446705098274
fr_nitroso,0.000388845334013362
SlogP_VSA5,0.0003576616174495821
SlogP_VSA8,0.00033991169380183833
PEOE_VSA8,0.00031910505750805857
NHOHCount,0.0002833821882598138
SMR_VSA7,0.0002609488036052025
BCUT2D_MWLOW,0.00023387131475897474
SlogP_VSA4,0.00023119505132651597
PEOE_VSA14,0.0002298831574869912
fr_thiophene,0.00022466182000605942
PEOE_VSA1,0.00022405834883987286
fr_nitro_arom,0.0002153211358690473
Kappa2,0.00021483573514846643
fr_Ar_N,0.0002134713655554954
EState_VSA3,0.00020861735834946474
VSA_EState8,0.0001998276696251189
SlogP_VSA6,0.00019851577578570515
fr_oxazole,0.00018930628103278982
fr_NH2,0.0001847933662250112
fr_Imine,0.00017398336098798742
SMR_VSA6,0.0001673189402835821
VSA_EState6,0.00016144165588286943
EState_VSA4,0.00015904089015665127
Chi2n,0.00015814880234577
FpDensityMorgan1,0.00015603665326420954
SMR_VSA3,0.00014731255923191208
SMR_VSA9,0.00014384915949576063
fr_hdrzine,0.00013167478466572882
PEOE_VSA9,0.00012944456513863667
fr_piperzine,0.00012789653040808555
VSA_EState4,0.00010933323257985202
fr_Ar_OH,0.00010779831678764396
BertzCT,0.00010415125191398644
FractionCSP3,9.83658000820083e-05
SMR_VSA1,9.515166017537435e-05
NumAromaticHeterocycles,8.948427878892791e-05
PEOE_VSA6,8.712286987792399e-05
fr_nitro,8.459091476775704e-05
PEOE_VSA3,8.064211431098774e-05
EState_VSA6,7.319055730292678e-05
VSA_EState2,6.794298194508681e-05
SlogP_VSA10,6.594890330913206e-05
fr_N_O,6.581771392522029e-05
EState_VSA2,6.518800488231058e-05
fr_amidine,6.33644724453708e-05
SMR_VSA10,6.255109826495502e-05
BCUT2D_LOGPHI,6.226248162029731e-05
EState_VSA7,5.452230796746763e-05
SlogP_VSA1,5.393195573973516e-05
SlogP_VSA3,4.430265495821336e-05
fr_tetrazole,4.313506944109147e-05
BalabanJ,3.9173150046016105e-05
HallKierAlpha,3.683797901169831e-05
PEOE_VSA10,3.435849965516269e-05
fr_sulfone,2.8848545529499187e-05
SMR_VSA4,1.7369474434240455e-05
SMR_VSA5,1.5060541276867845e-05
Ipc,6.192138922130515e-06
Kappa3,5.549310940766716e-06
MolWt,1.3906074697311865e-06
NumHeteroatoms,5.903522276584638e-07
fr_isothiocyan,0.0
fr_benzodiazepine,0.0
fr_guanido,-4.7228178227480083e-07
PEOE_VSA2,-2.3364829280743866e-05
PEOE_VSA4,-2.4440582229020198e-05
BCUT2D_MRHI,-3.1301787009385684e-05
fr_alkyl_carbamate,-3.3453292906086375e-05
BCUT2D_CHGLO,-3.5211230650977754e-05
PEOE_VSA12,-5.5493109408962425e-05
VSA_EState5,-5.647702978850422e-05
Chi4n,-5.8759725069116676e-05
BCUT2D_CHGHI,-6.0215927230933275e-05
EState_VSA9,-6.140975062485232e-05
PEOE_VSA11,-6.384987316624773e-05
EState_VSA10,-6.423032237967696e-05
MolLogP,-7.295441641201143e-05
EState_VSA8,-8.34233292508572e-05
fr_piperdine,-8.401368147858967e-05
RingCount,-9.003527420159418e-05
qed,-9.360362544500826e-05
fr_lactone,-0.00010649954188672132
VSA_EState1,-0.00011187830662854707
EState_VSA5,-0.00011942169620534256
BCUT2D_LOGPLOW,-0.00012333113984697164
MaxEStateIndex,-0.00013196340131046055
BCUT2D_MWHI,-0.0001663612577809115
MinEStateIndex,-0.00017006079840820032
fr_azide,-0.00017797151826004498
EState_VSA1,-0.0001851082207466511
PEOE_VSA7,-0.0002387384409034595
VSA_EState7,-0.00025564875249399027
fr_hdrzone,-0.000363748804864783
fr_dihydropyridine,-0.00044689663640921456
