rank,smiles,prob_active,deepentxai_score,prediction,observed
1,C[C@@H]1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@@H](C)N1,0.981,96.98,Active,Active
2,C[C@@H]1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@H](C)N1,0.981,96.98,Active,Active
3,C[C@@H]1CN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@H](C)N1,0.981,96.98,Active,Active
4,C[C@H]1[C@H](N)CN1c1c(F)cc2c(=O)c(C(=O)O)cn(CCF)c2c1F,0.9726,95.67,Active,Active
5,N[C@H]1C[C@@H](CO)N(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2F)C1,0.9726,95.67,Active,Active
6,C[C@@H]1CN(c2c(F)c(Cl)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@H](C)N1,0.9726,95.67,Active,Active
7,C[C@@H]1CN(c2c(F)c(F)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@H](C)N1,0.9726,95.67,Active,Active
8,C[C@@H]1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CCN1,0.9726,95.67,Active,Active
9,C[C@@H]1CN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CCN1,0.9726,95.67,Active,Active
10,C[C@H]1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(O)cc2)C[C@H]1N,0.9726,95.67,Active,Active
11,C[C@@H]1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(O)cc2)C[C@H]1N,0.9726,95.67,Active,Active
12,Cc1c(N2CCC(N(C)C3CC3)C2)c(F)cn2c(=O)c(C(=O)O)cc(C3CC3)c12,0.9726,95.67,Active,Active
13,C[C@H]1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CCN1,0.9726,95.67,Active,Active
14,C[C@H]1CN(C(=O)c2n[nH]c3c2CCC(C)(C)C3)Cc2onc([C@@](C)(O)C(F)(F)F)c21,0.9726,95.67,Active,Active
15,Cc1c(N2C[C@@H]3OCCN[C@@H]3C2)c(F)cn2c(=O)c(C(=O)O)cc(C3CC3)c12,0.9726,95.67,Active,Active
16,C[C@@H]1NCCN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)[C@@H]1C,0.9726,95.67,Active,Active
17,N[C@H]1CN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2Cl)CC12CC2,0.9726,95.67,Active,Active
18,C[C@H]1CN(C(=O)c2ccc(F)c(-c3cncc(F)c3)c2)Cc2cnc([C@@](C)(O)C(F)(F)F)n21,0.9726,95.67,Active,Active
19,C[C@H]1CN(C(=O)c2ccc(C#N)c(C3CC3)c2)Cc2cnc([C@@](C)(O)C(F)(F)F)n21,0.9726,95.67,Active,Active
20,CN(C)CC1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CCN1,0.9726,95.67,Active,Active
21,CC(C)n1cc(-c2cc(C(N)=O)c3c(c2)C(O)(C(F)(F)F)c2ccccc2-3)cn1,0.9726,95.67,Active,Active
22,N[C@@H]1CN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2Cl)CC12CC2,0.9726,95.67,Active,Active
23,O[C@H]1CCN(CCOc2ccc3c(c2)C(O)(C(F)(F)F)c2ccccc2-3)C1,0.9726,95.67,Active,Active
24,CC1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CCN1,0.9726,95.67,Active,Active
25,Cc1[nH]c(C(=O)Nc2nc3c(OC(C)c4ccc(CN5CCOCC5=O)cc4)cc(C(=O)O)cc3s2)c(Cl)c1Cl,0.9726,95.67,Active,Active
26,O[C@@H]1CCN(CCOc2ccc3c(c2)C(O)(C(F)(F)F)c2ccccc2-3)C1,0.9726,95.67,Active,Active
27,Cc1c(N2C[C@@H]3COC[C@]3(CN)C2)c(F)cn2c(=O)c(C(=O)O)cc(C3CC3)c12,0.9726,95.67,Active,Active
28,Cc1c(N2CCN(C)CC2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,0.9726,95.67,Active,Active
29,C[C@H]1C[C@H](N)CN1c1cc2c(cc1F)c(=O)c(C(=O)O)cn2-c1ccc(F)cc1,0.9726,95.67,Active,Active
30,Cc1c(N2C[C@H]3NCCO[C@@H]3C2)c(F)cn2c(=O)c(C(=O)O)cc(C3CC3)c12,0.9726,95.67,Active,Active
31,CC1CN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CC(C)N1,0.9726,95.67,Active,Active
32,COc1ccnc(-c2nc(N3CC[C@@H](NC(=O)c4[nH]c(C)c(Cl)c4Cl)[C@@H](OC)C3)sc2C(=O)O)n1,0.9726,95.67,Active,Active
33,C[C@H]1CN(C(=O)c2n[nH]c(C3CC3)c2Cl)Cc2onc([C@@](C)(O)C(F)(F)F)c21,0.9646,94.41,Active,Active
34,Cc1c(N2C[C@H]3CCNC[C@@H]3C2)c(F)cn2c(=O)c(C(=O)O)cc(C3CC3)c12,0.9578,93.36,Active,Active
35,C[C@H]1CN(C(=O)c2cc(C3CC3)[nH]n2)Cc2onc([C@@](C)(O)C(F)(F)F)c21,0.9578,93.36,Active,Active
36,CC(C)(C)n1cc(-c2cc(C(N)=O)c3c(c2)C(O)(C(F)(F)F)c2ccccc2-3)cn1,0.9578,93.36,Active,Active
37,C[C@@H]1[C@@H](N)CN1c1nc2c(cc1F)c(=O)c(C(=O)O)cn2C1CC1,0.9578,93.36,Active,Active
38,O=C(O)CCn1cc(-c2cc(Cl)c3c(c2)C(O)(C(F)(F)F)c2ccccc2-3)cn1,0.9578,93.36,Active,Active
39,CCN1CCC2(CCN(c3c(F)cc4c(=O)c(C(=O)O)cn(C5CC5)c4c3F)C2)C1,0.9578,93.36,Active,Active
40,CN(C)C1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2)C1,0.9578,93.36,Active,Active
41,C[C@@H](N)[C@H]1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(O)cc2)C1,0.9578,93.36,Active,Active
42,NCc1cccc(C2CN(c3c(F)cc4c(=O)c(C(=O)O)cn(C5CC5)c4c3F)CC2CN)c1,0.9578,93.36,Active,Active
43,CC(C)c1ccc(C2CN(c3c(F)cc4c(=O)c(C(=O)O)cn(C5CC5)c4c3F)CC2N)cc1,0.9578,93.36,Active,Active
44,CN1CCN(c2c(N)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CC1,0.9578,93.36,Active,Active
